,Date,DXY
783,2021-02-11,90.41999816894533
784,2021-02-12,90.4800033569336
785,2021-02-16,90.51000213623048
786,2021-02-17,90.9499969482422
787,2021-02-18,90.58999633789062
788,2021-02-19,90.36000061035156
789,2021-02-22,90.01000213623047
790,2021-02-23,90.16999816894533
791,2021-02-24,90.18000030517578
792,2021-02-25,90.12999725341795
793,2021-02-26,90.93000030517578
794,2021-03-01,91.04000091552734
795,2021-03-02,90.79000091552734
796,2021-03-03,90.9499969482422
797,2021-03-04,91.62999725341795
798,2021-03-05,91.9800033569336
799,2021-03-08,92.30999755859376
800,2021-03-09,91.95999908447266
801,2021-03-10,91.79000091552734
802,2021-03-11,91.41999816894533
803,2021-03-12,91.68000030517578
804,2021-03-15,91.83000183105467
805,2021-03-16,91.87000274658205
806,2021-03-17,91.4000015258789
807,2021-03-18,91.8499984741211
808,2021-03-19,91.91999816894533
809,2021-03-22,91.8000030517578
810,2021-03-23,92.33999633789062
811,2021-03-24,92.52999877929688
812,2021-03-25,92.87999725341795
813,2021-03-26,92.7699966430664
814,2021-03-29,92.94000244140624
815,2021-03-30,93.3000030517578
816,2021-03-31,93.2300033569336
817,2021-04-01,92.93000030517578
818,2021-04-05,92.5999984741211
819,2021-04-06,92.33999633789062
820,2021-04-07,92.45999908447266
821,2021-04-08,92.05999755859376
822,2021-04-09,92.16000366210938
823,2021-04-12,92.13999938964844
824,2021-04-13,91.8499984741211
825,2021-04-14,91.69000244140624
826,2021-04-15,91.66999816894533
827,2021-04-16,91.55999755859376
828,2021-04-19,91.06999969482422
829,2021-04-20,91.23999786376952
830,2021-04-21,91.16000366210938
831,2021-04-22,91.33000183105467
832,2021-04-23,90.86000061035156
833,2021-04-26,90.80999755859376
834,2021-04-27,90.91000366210938
835,2021-04-28,90.61000061035156
836,2021-04-29,90.61000061035156
837,2021-04-30,91.27999877929688
838,2021-05-03,90.9499969482422
839,2021-05-04,91.29000091552734
840,2021-05-05,91.30999755859376
841,2021-05-06,90.9499969482422
842,2021-05-07,90.2300033569336
843,2021-05-10,90.20999908447266
844,2021-05-11,90.13999938964844
845,2021-05-12,90.70999908447266
846,2021-05-13,90.75
847,2021-05-14,90.31999969482422
848,2021-05-17,90.22000122070312
849,2021-05-18,89.75
850,2021-05-19,90.19000244140624
851,2021-05-20,89.80999755859375
852,2021-05-21,90.0199966430664
853,2021-05-24,89.83000183105469
854,2021-05-25,89.63999938964844
855,2021-05-26,90.04000091552734
856,2021-05-27,89.97000122070312
857,2021-05-28,90.02999877929688
858,2021-06-01,89.83000183105469
859,2021-06-02,89.9000015258789
860,2021-06-03,90.5
861,2021-06-04,90.13999938964844
862,2021-06-07,89.94999694824219
863,2021-06-08,90.08000183105467
864,2021-06-09,90.12000274658205
865,2021-06-10,90.08000183105467
866,2021-06-11,90.55999755859376
867,2021-06-14,90.5199966430664
868,2021-06-15,90.54000091552734
869,2021-06-16,91.12999725341795
870,2021-06-17,91.88999938964844
871,2021-06-18,92.2300033569336
872,2021-06-21,91.86000061035156
873,2021-06-22,91.7300033569336
874,2021-06-23,91.8000030517578
875,2021-06-24,91.81999969482422
876,2021-06-25,91.80999755859376
877,2021-06-28,91.87999725341795
878,2021-06-29,92.0500030517578
879,2021-06-30,92.44000244140624
880,2021-07-01,92.5999984741211
881,2021-07-02,92.2300033569336
882,2021-07-06,92.5500030517578
883,2021-07-07,92.63999938964844
884,2021-07-08,92.36000061035156
885,2021-07-09,92.12999725341795
886,2021-07-12,92.2300033569336
887,2021-07-13,92.75
888,2021-07-14,92.41000366210938
889,2021-07-15,92.62000274658205
890,2021-07-16,92.69000244140624
891,2021-07-19,92.88999938964844
892,2021-07-20,92.97000122070312
893,2021-07-21,92.75
894,2021-07-22,92.81999969482422
895,2021-07-23,92.91000366210938
896,2021-07-26,92.6500015258789
897,2021-07-27,92.43000030517578
898,2021-07-28,92.31999969482422
899,2021-07-29,91.86000061035156
900,2021-07-30,92.16999816894533
901,2021-08-02,92.0500030517578
902,2021-08-03,92.08000183105467
903,2021-08-04,92.2699966430664
904,2021-08-05,92.23999786376952
905,2021-08-06,92.8000030517578
906,2021-08-09,92.9499969482422
907,2021-08-10,93.05999755859376
908,2021-08-11,92.91000366210938
909,2021-08-12,93.04000091552734
910,2021-08-13,92.5199966430664
911,2021-08-16,92.62999725341795
912,2021-08-17,93.12999725341795
913,2021-08-18,93.13999938964844
914,2021-08-19,93.56999969482422
915,2021-08-20,93.5
916,2021-08-23,92.95999908447266
917,2021-08-24,92.88999938964844
918,2021-08-25,92.83000183105467
919,2021-08-26,93.05999755859376
920,2021-08-27,92.69000244140624
921,2021-08-30,92.6500015258789
922,2021-08-31,92.62999725341795
923,2021-09-01,92.4499969482422
924,2021-09-02,92.2300033569336
925,2021-09-03,92.04000091552734
926,2021-09-07,92.5199966430664
927,2021-09-08,92.6500015258789
928,2021-09-09,92.4800033569336
929,2021-09-10,92.58000183105467
930,2021-09-13,92.62000274658205
931,2021-09-14,92.6500015258789
932,2021-09-15,92.48999786376952
933,2021-09-16,92.86000061035156
